YEAR;MO;DY;HR;WS50M;DATE
2024;1;15;0;6.06;15/01/2024
2024;1;15;1;5.94;15/01/2024
2024;1;15;2;5.75;15/01/2024
2024;1;15;3;5.37;15/01/2024
2024;1;15;4;5.06;15/01/2024
2024;1;15;5;4.99;15/01/2024
2024;1;15;6;4.95;15/01/2024
2024;1;15;7;4.79;15/01/2024
2024;1;15;8;4.83;15/01/2024
2024;1;15;9;5.12;15/01/2024
2024;1;15;10;5.74;15/01/2024
2024;1;15;11;6.29;15/01/2024
2024;1;15;12;6.59;15/01/2024
2024;1;15;13;6.72;15/01/2024
2024;1;15;14;6.89;15/01/2024
2024;1;15;15;6.89;15/01/2024
2024;1;15;16;6.65;15/01/2024
2024;1;15;17;6.48;15/01/2024
2024;1;15;18;6.19;15/01/2024
2024;1;15;19;5.85;15/01/2024
2024;1;15;20;5.67;15/01/2024
2024;1;15;21;5.58;15/01/2024
2024;1;15;22;5.4;15/01/2024
2024;1;15;23;5.11;15/01/2024
2024;1;16;0;4.8;16/01/2024
2024;1;16;1;4.53;16/01/2024
2024;1;16;2;4.47;16/01/2024
2024;1;16;3;4.57;16/01/2024
2024;1;16;4;4.69;16/01/2024
2024;1;16;5;4.65;16/01/2024
2024;1;16;6;4.68;16/01/2024
2024;1;16;7;4.75;16/01/2024
2024;1;16;8;4.79;16/01/2024
2024;1;16;9;4.58;16/01/2024
2024;1;16;10;4.79;16/01/2024
2024;1;16;11;4.96;16/01/2024
2024;1;16;12;5.1;16/01/2024
2024;1;16;13;5.26;16/01/2024
2024;1;16;14;5.42;16/01/2024
2024;1;16;15;5.47;16/01/2024
2024;1;16;16;5.18;16/01/2024
2024;1;16;17;4.78;16/01/2024
2024;1;16;18;4.7;16/01/2024
2024;1;16;19;4.79;16/01/2024
2024;1;16;20;5.02;16/01/2024
2024;1;16;21;5.21;16/01/2024
2024;1;16;22;5.29;16/01/2024
2024;1;16;23;5.01;16/01/2024
2024;1;17;0;4.5;17/01/2024
2024;1;17;1;4.09;17/01/2024
2024;1;17;2;3.68;17/01/2024
2024;1;17;3;3.21;17/01/2024
2024;1;17;4;2.61;17/01/2024
2024;1;17;5;2.26;17/01/2024
2024;1;17;6;2.14;17/01/2024
2024;1;17;7;2.36;17/01/2024
2024;1;17;8;2.79;17/01/2024
2024;1;17;9;3.32;17/01/2024
2024;1;17;10;3.99;17/01/2024
2024;1;17;11;4.65;17/01/2024
2024;1;17;12;5.15;17/01/2024
2024;1;17;13;5.49;17/01/2024
2024;1;17;14;5.59;17/01/2024
2024;1;17;15;5.44;17/01/2024
2024;1;17;16;5.14;17/01/2024
2024;1;17;17;4.91;17/01/2024
2024;1;17;18;4.88;17/01/2024
2024;1;17;19;4.84;17/01/2024
2024;1;17;20;4.82;17/01/2024
2024;1;17;21;4.75;17/01/2024
2024;1;17;22;4.68;17/01/2024
2024;1;17;23;4.61;17/01/2024
2024;1;18;0;4.56;18/01/2024
2024;1;18;1;4.55;18/01/2024
2024;1;18;2;4.5;18/01/2024
2024;1;18;3;4.37;18/01/2024
2024;1;18;4;4.3;18/01/2024
2024;1;18;5;4.11;18/01/2024
2024;1;18;6;3.91;18/01/2024
2024;1;18;7;3.76;18/01/2024
2024;1;18;8;3.76;18/01/2024
2024;1;18;9;3.74;18/01/2024
2024;1;18;10;3.97;18/01/2024
2024;1;18;11;4.26;18/01/2024
2024;1;18;12;4.47;18/01/2024
2024;1;18;13;4.73;18/01/2024
2024;1;18;14;4.84;18/01/2024
2024;1;18;15;4.75;18/01/2024
2024;1;18;16;4.55;18/01/2024
2024;1;18;17;4.27;18/01/2024
2024;1;18;18;4.32;18/01/2024
2024;1;18;19;4.52;18/01/2024
2024;1;18;20;4.79;18/01/2024
2024;1;18;21;5.09;18/01/2024
2024;1;18;22;5.54;18/01/2024
2024;1;18;23;5.83;18/01/2024
2024;1;19;0;5.87;19/01/2024
2024;1;19;1;5.67;19/01/2024
2024;1;19;2;5.37;19/01/2024
2024;1;19;3;4.87;19/01/2024
2024;1;19;4;3.99;19/01/2024
2024;1;19;5;3.15;19/01/2024
2024;1;19;6;2.78;19/01/2024
2024;1;19;7;3.12;19/01/2024
2024;1;19;8;3.75;19/01/2024
2024;1;19;9;4.58;19/01/2024
2024;1;19;10;5.64;19/01/2024
2024;1;19;11;6.44;19/01/2024
2024;1;19;12;6.87;19/01/2024
2024;1;19;13;7.09;19/01/2024
2024;1;19;14;7.33;19/01/2024
2024;1;19;15;7.66;19/01/2024
2024;1;19;16;8.15;19/01/2024
2024;1;19;17;8.93;19/01/2024
2024;1;19;18;9.72;19/01/2024
2024;1;19;19;9.58;19/01/2024
2024;1;19;20;9.17;19/01/2024
2024;1;19;21;8.6;19/01/2024
2024;1;19;22;8.01;19/01/2024
2024;1;19;23;7.22;19/01/2024
2024;1;20;0;6.48;20/01/2024
2024;1;20;1;6.02;20/01/2024
2024;1;20;2;5.79;20/01/2024
2024;1;20;3;5.66;20/01/2024
2024;1;20;4;5.73;20/01/2024
2024;1;20;5;5.89;20/01/2024
2024;1;20;6;6.11;20/01/2024
2024;1;20;7;6.41;20/01/2024
2024;1;20;8;6.68;20/01/2024
2024;1;20;9;6.9;20/01/2024
2024;1;20;10;6.93;20/01/2024
2024;1;20;11;6.78;20/01/2024
2024;1;20;12;6.63;20/01/2024
2024;1;20;13;6.68;20/01/2024
2024;1;20;14;6.83;20/01/2024
2024;1;20;15;6.88;20/01/2024
2024;1;20;16;6.87;20/01/2024
2024;1;20;17;6.81;20/01/2024
2024;1;20;18;6.59;20/01/2024
2024;1;20;19;6.33;20/01/2024
2024;1;20;20;6.31;20/01/2024
2024;1;20;21;6.23;20/01/2024
2024;1;20;22;5.85;20/01/2024
2024;1;20;23;5.52;20/01/2024
2024;1;21;0;5.44;21/01/2024
2024;1;21;1;5.42;21/01/2024
2024;1;21;2;5.42;21/01/2024
2024;1;21;3;5.44;21/01/2024
2024;1;21;4;5.23;21/01/2024
2024;1;21;5;4.99;21/01/2024
2024;1;21;6;4.89;21/01/2024
2024;1;21;7;4.77;21/01/2024
2024;1;21;8;4.87;21/01/2024
2024;1;21;9;5.43;21/01/2024
2024;1;21;10;6.18;21/01/2024
2024;1;21;11;6.64;21/01/2024
2024;1;21;12;6.88;21/01/2024
2024;1;21;13;7.1;21/01/2024
2024;1;21;14;7.28;21/01/2024
2024;1;21;15;7.24;21/01/2024
2024;1;21;16;7.03;21/01/2024
2024;1;21;17;7.02;21/01/2024
2024;1;21;18;6.88;21/01/2024
2024;1;21;19;6.97;21/01/2024
2024;1;21;20;6.82;21/01/2024
2024;1;21;21;6.46;21/01/2024
2024;1;21;22;6.1;21/01/2024
2024;1;21;23;6.03;21/01/2024
2024;1;22;0;6.03;22/01/2024
2024;1;22;1;5.98;22/01/2024
2024;1;22;2;5.77;22/01/2024
2024;1;22;3;5.3;22/01/2024
2024;1;22;4;4.88;22/01/2024
2024;1;22;5;4.41;22/01/2024
2024;1;22;6;4.12;22/01/2024
2024;1;22;7;4.23;22/01/2024
2024;1;22;8;4.33;22/01/2024
2024;1;22;9;4.72;22/01/2024
2024;1;22;10;5.39;22/01/2024
2024;1;22;11;6.02;22/01/2024
2024;1;22;12;6.36;22/01/2024
2024;1;22;13;6.54;22/01/2024
2024;1;22;14;6.67;22/01/2024
2024;1;22;15;6.7;22/01/2024
2024;1;22;16;6.28;22/01/2024
2024;1;22;17;6.23;22/01/2024
2024;1;22;18;6.32;22/01/2024
2024;1;22;19;6.28;22/01/2024
2024;1;22;20;6.21;22/01/2024
2024;1;22;21;6.26;22/01/2024
2024;1;22;22;6.21;22/01/2024
2024;1;22;23;6.4;22/01/2024
2024;1;23;0;6.35;23/01/2024
2024;1;23;1;6.34;23/01/2024
2024;1;23;2;6.29;23/01/2024
2024;1;23;3;6.36;23/01/2024
2024;1;23;4;6.61;23/01/2024
2024;1;23;5;6.6;23/01/2024
2024;1;23;6;6.5;23/01/2024
2024;1;23;7;6.02;23/01/2024
2024;1;23;8;6.26;23/01/2024
2024;1;23;9;6.66;23/01/2024
2024;1;23;10;6.64;23/01/2024
2024;1;23;11;6.62;23/01/2024
2024;1;23;12;6.57;23/01/2024
2024;1;23;13;6.5;23/01/2024
2024;1;23;14;6.24;23/01/2024
2024;1;23;15;5.96;23/01/2024
2024;1;23;16;5.68;23/01/2024
2024;1;23;17;5.51;23/01/2024
2024;1;23;18;5.57;23/01/2024
2024;1;23;19;5.57;23/01/2024
2024;1;23;20;5.62;23/01/2024
2024;1;23;21;5.4;23/01/2024
2024;1;23;22;5.66;23/01/2024
2024;1;23;23;6.03;23/01/2024
2024;1;24;0;6.5;24/01/2024
2024;1;24;1;6.84;24/01/2024
2024;1;24;2;6.84;24/01/2024
2024;1;24;3;6.7;24/01/2024
2024;1;24;4;6.52;24/01/2024
2024;1;24;5;6.4;24/01/2024
2024;1;24;6;6.39;24/01/2024
2024;1;24;7;6.35;24/01/2024
2024;1;24;8;6.45;24/01/2024
2024;1;24;9;6.7;24/01/2024
2024;1;24;10;6.86;24/01/2024
2024;1;24;11;6.86;24/01/2024
2024;1;24;12;6.71;24/01/2024
2024;1;24;13;6.36;24/01/2024
2024;1;24;14;6.04;24/01/2024
2024;1;24;15;5.85;24/01/2024
2024;1;24;16;5.72;24/01/2024
2024;1;24;17;5.85;24/01/2024
2024;1;24;18;6.11;24/01/2024
2024;1;24;19;5.93;24/01/2024
2024;1;24;20;5.56;24/01/2024
2024;1;24;21;5.28;24/01/2024
2024;1;24;22;4.98;24/01/2024
2024;1;24;23;4.93;24/01/2024
2024;1;25;0;5.04;25/01/2024
2024;1;25;1;5.08;25/01/2024
2024;1;25;2;4.76;25/01/2024
